source,target,relation,description,city,material
city:青岛,env:青岛:盐雾风险,具有,青岛具有高盐雾风险,青岛,
city:青岛,env:青岛:高湿风险,具有,青岛具有高高湿风险,青岛,
city:青岛,env:青岛:工业污染风险,具有,青岛具有中工业污染风险,青岛,
city:烟台,env:烟台:盐雾风险,具有,烟台具有高盐雾风险,烟台,
city:烟台,env:烟台:高湿风险,具有,烟台具有中高湿风险,烟台,
city:烟台,env:烟台:工业污染风险,具有,烟台具有中工业污染风险,烟台,
city:威海,env:威海:盐雾风险,具有,威海具有高盐雾风险,威海,
city:威海,env:威海:高湿风险,具有,威海具有高高湿风险,威海,
city:威海,env:威海:工业污染风险,具有,威海具有低工业污染风险,威海,
city:日照,env:日照:盐雾风险,具有,日照具有中盐雾风险,日照,
city:日照,env:日照:高湿风险,具有,日照具有中高湿风险,日照,
city:日照,env:日照:工业污染风险,具有,日照具有高工业污染风险,日照,
city:青岛,industry:青岛:海洋装备产业,拥有,青岛拥有海洋装备产业,青岛,
industry:青岛:海洋装备产业,scene:海洋装备,对应,海洋装备产业对应海洋装备,青岛,
scene:海洋装备,demand:海洋装备:耐盐雾、耐磨、耐湿热表面防护材料,需要,海洋装备需要耐盐雾、耐磨、耐湿热表面防护材料,青岛,
city:青岛,industry:青岛:港口装备产业,拥有,青岛拥有港口装备产业,青岛,
industry:青岛:港口装备产业,scene:港口机械,对应,港口装备产业对应港口机械,青岛,
scene:港口机械,demand:港口机械:耐盐雾、耐磨、抗冲蚀涂层,需要,港口机械需要耐盐雾、耐磨、抗冲蚀涂层,青岛,
city:青岛,industry:青岛:海上能源装备,拥有,青岛拥有海上能源装备,青岛,
industry:青岛:海上能源装备,scene:海上风电设备,对应,海上能源装备对应海上风电设备,青岛,
scene:海上风电设备,demand:海上风电设备:耐盐雾、耐疲劳、耐湿热涂层,需要,海上风电设备需要耐盐雾、耐疲劳、耐湿热涂层,青岛,
city:烟台,industry:烟台:海上能源装备,拥有,烟台拥有海上能源装备,烟台,
industry:烟台:海上能源装备,scene:海上风电设备,对应,海上能源装备对应海上风电设备,烟台,
scene:海上风电设备,demand:海上风电设备:耐盐雾、耐湿热、耐冲蚀涂层,需要,海上风电设备需要耐盐雾、耐湿热、耐冲蚀涂层,烟台,
city:烟台,industry:烟台:船舶装备产业,拥有,烟台拥有船舶装备产业,烟台,
industry:烟台:船舶装备产业,scene:船舶装备,对应,船舶装备产业对应船舶装备,烟台,
scene:船舶装备,demand:船舶装备:耐海水、低毒、耐磨涂层,需要,船舶装备需要耐海水、低毒、耐磨涂层,烟台,
city:烟台,industry:烟台:海洋工程产业,拥有,烟台拥有海洋工程产业,烟台,
industry:烟台:海洋工程产业,scene:海洋工程,对应,海洋工程产业对应海洋工程,烟台,
scene:海洋工程,demand:海洋工程:耐盐雾、耐冲蚀、稳定涂层,需要,海洋工程需要耐盐雾、耐冲蚀、稳定涂层,烟台,
city:威海,industry:威海:海洋牧场装备,拥有,威海拥有海洋牧场装备,威海,
industry:威海:海洋牧场装备,scene:海洋牧场装备,对应,海洋牧场装备对应海洋牧场装备,威海,
scene:海洋牧场装备,demand:海洋牧场装备:耐海水、低毒、抗生物附着候选涂层,需要,海洋牧场装备需要耐海水、低毒、抗生物附着候选涂层,威海,
city:威海,industry:威海:船舶配套产业,拥有,威海拥有船舶配套产业,威海,
industry:威海:船舶配套产业,scene:船舶配套,对应,船舶配套产业对应船舶配套,威海,
scene:船舶配套,demand:船舶配套:低毒、耐盐雾、耐磨涂层,需要,船舶配套需要低毒、耐盐雾、耐磨涂层,威海,
city:威海,industry:威海:海水环境装备,拥有,威海拥有海水环境装备,威海,
industry:威海:海水环境装备,scene:海水环境装备,对应,海水环境装备对应海水环境装备,威海,
scene:海水环境装备,demand:海水环境装备:耐海水、耐湿热、稳定涂层,需要,海水环境装备需要耐海水、耐湿热、稳定涂层,威海,
city:日照,industry:日照:港口装备产业,拥有,日照拥有港口装备产业,日照,
industry:日照:港口装备产业,scene:港口机械,对应,港口装备产业对应港口机械,日照,
scene:港口机械,demand:港口机械:耐磨、耐盐雾、耐污染涂层,需要,港口机械需要耐磨、耐盐雾、耐污染涂层,日照,
city:日照,industry:日照:海洋运输装备,拥有,日照拥有海洋运输装备,日照,
industry:日照:海洋运输装备,scene:海洋运输装备,对应,海洋运输装备对应海洋运输装备,日照,
scene:海洋运输装备,demand:海洋运输装备:耐海水、耐盐雾、防护涂层,需要,海洋运输装备需要耐海水、耐盐雾、防护涂层,日照,
city:日照,industry:日照:钢铁装备防护,拥有,日照拥有钢铁装备防护,日照,
industry:日照:钢铁装备防护,scene:钢铁装备防护,对应,钢铁装备防护对应钢铁装备防护,日照,
scene:钢铁装备防护,demand:钢铁装备防护:耐磨、耐热、耐工业污染涂层,需要,钢铁装备防护需要耐磨、耐热、耐工业污染涂层,日照,
material:TiN,category:氮化物涂层,属于,TiN属于氮化物涂层,,TiN
material:TiN,feature:TiN:防护潜力,具有,TiN具有中防护潜力,,TiN
material:TiN,scene:港口机械,适用于,TiN适用于港口机械,,TiN
material:TiN,scene:海洋装备运动部件,适用于,TiN适用于海洋装备运动部件,,TiN
material:CrN,category:氮化物涂层,属于,CrN属于氮化物涂层,,CrN
material:CrN,feature:CrN:防护潜力,具有,CrN具有高防护潜力,,CrN
material:CrN,scene:港口机械,适用于,CrN适用于港口机械,,CrN
material:CrN,scene:船舶配套,适用于,CrN适用于船舶配套,,CrN
material:CrN,scene:海洋装备,适用于,CrN适用于海洋装备,,CrN
material:AlN,category:氮化物涂层,属于,AlN属于氮化物涂层,,AlN
material:AlN,feature:AlN:防护潜力,具有,AlN具有中防护潜力,,AlN
material:AlN,scene:海上风电设备,适用于,AlN适用于海上风电设备,,AlN
material:AlN,scene:电子封装相关部件,适用于,AlN适用于电子封装相关部件,,AlN
material:TiAlN,category:氮化物涂层,属于,TiAlN属于氮化物涂层,,TiAlN
material:TiAlN,feature:TiAlN:防护潜力,具有,TiAlN具有高防护潜力,,TiAlN
material:TiAlN,scene:港口机械,适用于,TiAlN适用于港口机械,,TiAlN
material:TiAlN,scene:钢铁装备防护,适用于,TiAlN适用于钢铁装备防护,,TiAlN
material:Al2O3,category:氧化物涂层,属于,Al2O3属于氧化物涂层,,Al2O3
material:Al2O3,feature:Al2O3:防护潜力,具有,Al2O3具有高防护潜力,,Al2O3
material:Al2O3,scene:海洋装备,适用于,Al2O3适用于海洋装备,,Al2O3
material:Al2O3,scene:海水环境装备,适用于,Al2O3适用于海水环境装备,,Al2O3
material:Cr2O3,category:氧化物涂层,属于,Cr2O3属于氧化物涂层,,Cr2O3
material:Cr2O3,feature:Cr2O3:防护潜力,具有,Cr2O3具有高防护潜力,,Cr2O3
material:Cr2O3,scene:海洋装备,适用于,Cr2O3适用于海洋装备,,Cr2O3
material:Cr2O3,scene:港口机械,适用于,Cr2O3适用于港口机械,,Cr2O3
material:TiO2,category:氧化物涂层,属于,TiO2属于氧化物涂层,,TiO2
material:TiO2,feature:TiO2:防护潜力,具有,TiO2具有中防护潜力,,TiO2
material:TiO2,scene:海洋牧场装备,适用于,TiO2适用于海洋牧场装备,,TiO2
material:TiO2,scene:海水环境装备,适用于,TiO2适用于海水环境装备,,TiO2
material:ZrO2,category:氧化物涂层,属于,ZrO2属于氧化物涂层,,ZrO2
material:ZrO2,feature:ZrO2:防护潜力,具有,ZrO2具有高防护潜力,,ZrO2
material:ZrO2,scene:海上风电设备,适用于,ZrO2适用于海上风电设备,,ZrO2
material:ZrO2,scene:海洋工程,适用于,ZrO2适用于海洋工程,,ZrO2
material:SiO2,category:氧化物涂层,属于,SiO2属于氧化物涂层,,SiO2
material:SiO2,feature:SiO2:防护潜力,具有,SiO2具有中防护潜力,,SiO2
material:SiO2,scene:海洋牧场装备,适用于,SiO2适用于海洋牧场装备,,SiO2
material:SiO2,scene:海水环境装备,适用于,SiO2适用于海水环境装备,,SiO2
material:SiC,category:碳化物涂层,属于,SiC属于碳化物涂层,,SiC
material:SiC,feature:SiC:防护潜力,具有,SiC具有高防护潜力,,SiC
material:SiC,scene:港口机械,适用于,SiC适用于港口机械,,SiC
material:SiC,scene:钢铁装备防护,适用于,SiC适用于钢铁装备防护,,SiC
material:TiC,category:碳化物涂层,属于,TiC属于碳化物涂层,,TiC
material:TiC,feature:TiC:防护潜力,具有,TiC具有中防护潜力,,TiC
material:TiC,scene:港口机械,适用于,TiC适用于港口机械,,TiC
material:TiC,scene:海洋装备运动部件,适用于,TiC适用于海洋装备运动部件,,TiC
material:WC,category:碳化物涂层,属于,WC属于碳化物涂层,,WC
material:WC,feature:WC:防护潜力,具有,WC具有高防护潜力,,WC
material:WC,scene:港口机械,适用于,WC适用于港口机械,,WC
material:WC,scene:钢铁装备防护,适用于,WC适用于钢铁装备防护,,WC
material:ZrN,category:氮化物涂层,属于,ZrN属于氮化物涂层,,ZrN
material:ZrN,feature:ZrN:防护潜力,具有,ZrN具有中防护潜力,,ZrN
material:ZrN,scene:海上风电设备,适用于,ZrN适用于海上风电设备,,ZrN
material:ZrN,scene:海洋工程,适用于,ZrN适用于海洋工程,,ZrN
material:HfN,category:氮化物涂层,属于,HfN属于氮化物涂层,,HfN
material:HfN,feature:HfN:防护潜力,具有,HfN具有中防护潜力,,HfN
material:HfN,scene:高端海洋工程部件,适用于,HfN适用于高端海洋工程部件,,HfN
material:AlCrN,category:氮化物涂层,属于,AlCrN属于氮化物涂层,,AlCrN
material:AlCrN,feature:AlCrN:防护潜力,具有,AlCrN具有高防护潜力,,AlCrN
material:AlCrN,scene:港口机械,适用于,AlCrN适用于港口机械,,AlCrN
material:AlCrN,scene:海上风电设备,适用于,AlCrN适用于海上风电设备,,AlCrN
material:CrAlN,category:氮化物涂层,属于,CrAlN属于氮化物涂层,,CrAlN
material:CrAlN,feature:CrAlN:防护潜力,具有,CrAlN具有高防护潜力,,CrAlN
material:CrAlN,scene:海洋装备,适用于,CrAlN适用于海洋装备,,CrAlN
material:CrAlN,scene:港口机械,适用于,CrAlN适用于港口机械,,CrAlN
