catalog_id,catalog_name,city,source_department,domain,published_at,updated_at,record_count,open_formats,source_url,reliability_tier,use_status,intended_use,quality_notes
6bca3e65b54149bc90e4f1a4417c980f,"威海市海洋生产总值（分区市）信息",威海,威海市海洋发展局,综合政务,2025-07-02,2026-07-01,24,"csv;api;rdf","https://data.sd.gov.cn/portal/catalog/6bca3e65b54149bc90e4f1a4417c980f",A,已纳入证据层,"海洋经济规模、城市海洋产业权重","官方目录元数据已核验；需下载明细数据后检查字段、年份、单位和缺失值"
a134c04cda564f4bab096b3e1b4fa9c4,"远洋捕捞渔船信息",威海,威海市海洋发展局,机构团体,2021-05-21,2026-07-01,351,"csv;api;rdf","https://data.sd.gov.cn/portal/catalog/a134c04cda564f4bab096b3e1b4fa9c4",A,已纳入证据层,"船舶/渔船装备存量和防护需求线索","官方目录元数据已核验；需下载明细数据后检查船舶类型、登记状态和时间口径"
324076aabf184eb18aa26c1d22ad95e8,"烟台市港口经营许可证",烟台,市交通运输局,综合政务,2025-06-04,2026-06-29,50,"csv;api;rdf","https://data.sd.gov.cn/portal/catalog/324076aabf184eb18aa26c1d22ad95e8",A,已纳入证据层,"港口经营主体和港口装备应用场景","官方目录元数据已核验；需下载明细数据后检查经营范围、许可有效期和主体去重"
4ce717c4712d4e61a017dbc0070b3058,"烟台市统计年鉴_沿海主要港口货物吞吐量",烟台,烟台市统计局,社会民生,2026-01-12,2026-06-29,19,"csv;rdf","https://data.sd.gov.cn/portal/catalog/4ce717c4712d4e61a017dbc0070b3058",A,已纳入证据层,"港口吞吐量、磨损负荷和物流强度","官方目录元数据已核验；需下载明细数据后检查年份、吨位单位和港口名称"
20201113144849155900,"烟台莱山区新材料及其应用技术合同登记信息",烟台,烟台市莱山区,教育科技,2026-03-20,2026-06-29,36,"csv;api;rdf","https://data.sd.gov.cn/portal/catalog/20201113144849155900",B,已纳入证据层,"新材料技术转化活动线索","官方目录元数据已核验；目录可支撑研发活动存在性，不能替代项目质量评价"
7CD9C95E77ED4288A2800277DDC4A303,"新材料领域高新技术企业名单",青岛,青岛市科学技术局,暂无,2025-12-30,2025-12-30,1772,"csv;api;rdf","https://data.sd.gov.cn/portal/catalog/7CD9C95E77ED4288A2800277DDC4A303",A,已纳入证据层,"新材料企业供给侧基础","官方目录元数据已核验；可支撑企业基础，不直接支撑海洋装备需求"
f7d09a4b028f463fa817cb3eb17b211e,"兽医师执业注册信息",青岛,青岛市西海岸新区,社保就业,2018-11-21,2026-07-01,160,"csv;rdf","https://data.sd.gov.cn/portal/catalog/f7d09a4b028f463fa817cb3eb17b211e",D,不纳入证据层,"仅证明目录存在，不用于材料或装备结论","真实公共目录，但与材料/装备/环境问题不相关，禁止用于模型支撑"
e5682c20764444aabcb121941b37581d,"荣成市国内渔船检验证书核发信息",威海,荣成市,农业农村,2021-05-21,2026-07-01,2612,"csv;api;rdf","https://data.sd.gov.cn/portal/catalog/e5682c20764444aabcb121941b37581d",A,已纳入证据层,"船舶/渔船装备存量和防护需求线索","官方目录元数据已核验；需下载明细数据后检查证书有效期和船舶类型"
f77e56de776345b3a40aa5496e09b39d,"荣成市港口基本信息",威海,荣成市,综合政务,2021-10-28,2026-06-29,33,"csv;api;rdf","https://data.sd.gov.cn/portal/catalog/f77e56de776345b3a40aa5496e09b39d",A,已纳入证据层,"港口基础设施和港航设备暴露场景","官方目录元数据已核验；需下载明细数据后检查港口类型、位置和经营状态"
78613881491d48d69231fa1b7ecc675d,"威海市车载设备监测区县PM浓度信息",威海,威海市生态环境局,资源能源,2022-12-19,2026-07-01,3712,"csv;api;rdf","https://data.sd.gov.cn/portal/catalog/78613881491d48d69231fa1b7ecc675d",A,已纳入证据层,"大气颗粒物暴露和工业污染环境线索","官方目录元数据已核验；需下载明细数据后检查监测时间、空间粒度和异常值"
