system_id,system_name,material_route_id,applicable_engineering_needs,target_properties,advantages,limitations,suggested_validation_tests,evidence_level,needs_expert_review,source_asset,data_status
CMS-R1-01,环氧防护涂层,R1,长期服役环境稳定性、耐湿热、耐腐蚀、表面防护,耐腐蚀性、耐湿热性、附着力、耐介质性,工艺成熟、适合表面防护场景,长期可靠性需验证、不给出配方,盐雾、湿热、腐蚀、附着力,路线级知识,True,第一版 rules/candidate_material_systems.yaml,候选体系规则，非真实配方或性能预测
CMS-R1-02,聚氨酯防护涂层,R1,耐湿热、表面防护,耐湿热性、附着力、耐介质性,柔韧性较好、适合复杂环境防护,耐老化表现需验证,湿热、耐介质、附着力,路线级知识,True,第一版 rules/candidate_material_systems.yaml,候选体系规则，非真实配方或性能预测
CMS-R1-03,片层填料阻隔涂层,R1,耐腐蚀、表面防护,低吸水率、耐腐蚀性、耐介质性,有利于介质阻隔路线讨论,填料分散和界面相容性需验证,盐雾、湿热、腐蚀、表面分析,路线级知识,True,第一版 rules/candidate_material_systems.yaml,候选体系规则，非真实配方或性能预测
CMS-R1-04,金属表面改性防护体系,R1,表面防护、耐腐蚀,耐腐蚀性、附着力、耐介质性,适合表面处理与防护协同,基材和工艺窗口需专家审核,电化学、腐蚀、附着力、表面分析,路线级知识,True,第一版 rules/candidate_material_systems.yaml,候选体系规则，非真实配方或性能预测
CMS-R2-01,玻璃纤维增强聚合物复合材料,R2,结构减重、高承载、服役可靠性,高比强度、高比模量、耐冲击、耐环境性,成本和工艺可达性较好,长期疲劳和环境适应性需验证,拉伸、弯曲、冲击、疲劳、密度,路线级知识,True,第一版 rules/candidate_material_systems.yaml,候选体系规则，非真实配方或性能预测
CMS-R2-02,碳纤维增强聚合物复合材料,R2,结构减重、高承载,高比强度、高比模量、耐疲劳,轻量化潜力高,成本和批量制造需评估,拉伸、弯曲、疲劳、密度,路线级知识,True,第一版 rules/candidate_material_systems.yaml,候选体系规则，非真实配方或性能预测
CMS-R2-03,铝基轻质合金,R2,结构减重、高承载,高比强度、耐疲劳、耐冲击,工程应用基础较好,腐蚀防护和连接工艺需验证,拉伸、疲劳、冲击、密度、腐蚀,路线级知识,True,第一版 rules/candidate_material_systems.yaml,候选体系规则，非真实配方或性能预测
CMS-R2-04,镁基轻质合金,R2,结构减重,高比强度、耐冲击、耐环境性,减重潜力突出,耐腐蚀和阻燃安全需重点审核,拉伸、冲击、腐蚀、密度,路线级知识,True,第一版 rules/candidate_material_systems.yaml,候选体系规则，非真实配方或性能预测
CMS-R3-01,陶瓷增强耐磨涂层,R3,摩擦磨损控制、服役寿命提升,耐磨性、硬度、耐冲蚀性,适合磨损和硬度场景,界面结合和韧性需验证,摩擦磨损、硬度、冲蚀、显微组织,路线级知识,True,第一版 rules/candidate_material_systems.yaml,候选体系规则，非真实配方或性能预测
CMS-R3-02,激光熔覆耐磨合金层,R3,摩擦磨损控制、服役寿命提升,耐磨性、硬度、抗疲劳性,适合局部强化路线,残余应力和基材匹配需审核,硬度、摩擦磨损、显微组织、疲劳,路线级知识,True,第一版 rules/candidate_material_systems.yaml,候选体系规则，非真实配方或性能预测
