evidence_id,formula,query,title,journal,year,doi,url,abstract_snippet,evidence_type,relevance_note,data_status,publisher,issn,discovery_scope,topic,material_system_hint
LIT-MULTI-0001,TiN,TiN coating corrosion NaCl,Study of NaCl-induced hot-corrosion behavior of TiN single-layer and TiN/Ti multilayer coatings at 500 °C,Corrosion Science,2021.0,10.1016/j.corsci.2021.109838,https://doi.org/10.1016/j.corsci.2021.109838,,Crossref 文献元数据,题名命中材料化学式或材料缩写，仍需人工复核实验条件,文献线索，需人工复核题名、摘要、全文和实验条件,,,,,
LIT-MULTI-0002,TiN,TiN coating corrosion NaCl,Pitting corrosion of TiN-coated stainless steel in 3 % NaCl solution,Materiali in tehnologije,2015.0,10.17222/mit.2013.176,https://doi.org/10.17222/mit.2013.176,,Crossref 文献元数据,题名命中材料化学式或材料缩写，仍需人工复核实验条件,文献线索，需人工复核题名、摘要、全文和实验条件,,,,,
LIT-MULTI-0003,TiAlN,TiAlN coating corrosion,Characterization and Corrosion Studies of TiAlN PVD Coating by Using the Polarization Test Method,Journal of Bio- and Tribo-Corrosion,2019.0,10.1007/s40735-019-0220-1,https://doi.org/10.1007/s40735-019-0220-1,,Crossref 文献元数据,题名命中材料化学式或材料缩写，仍需人工复核实验条件,文献线索，需人工复核题名、摘要、全文和实验条件,,,,,
LIT-MULTI-0004,TiAlN,TiAlN coating corrosion,High-temperature resistance and self-lubricating TiAlTaCN nanocomposite hard coating by synergistic interaction of TiAlN(C) and TaN(C) phases,Corrosion Science,2024.0,10.1016/j.corsci.2023.111687,https://doi.org/10.1016/j.corsci.2023.111687,,Crossref 文献元数据,题名命中材料化学式或材料缩写，仍需人工复核实验条件,文献线索，需人工复核题名、摘要、全文和实验条件,,,,,
LIT-MULTI-0005,TiAlN,TiAlN coating corrosion,Erosion-Corrosion Behavior and Mechanism of TiAlN Coating Under Different Flow Conditions in Simulated Seawater,Corrosion,2023.0,10.5006/4287,https://doi.org/10.5006/4287,"Erosion-corrosion behavior of high-speed steel (HSS) and titanium aluminum nitride (TiAlN) coating were investigated under different flow conditions in simulated seawater. On the front side (facing toward the direction of water flow), there was a negligible failure of the TiAlN coating, but clear marks of erosion-corrosion on the HSS. Notwithstanding, unexpected failure features were identified on the back side (back",Crossref 文献元数据,题名命中材料化学式或材料缩写，仍需人工复核实验条件,文献线索，需人工复核题名、摘要、全文和实验条件,,,,,
LIT-MULTI-0006,TiAlN,TiAlN coating corrosion,Improvement in Wear and Thermal Resistance of Disc Brake Rotors using TiAlN Coating,International Journal of Science and Research (IJSR),2017.0,10.21275/art20175184,https://doi.org/10.21275/art20175184,,Crossref 文献元数据,题名命中材料化学式或材料缩写，仍需人工复核实验条件,文献线索，需人工复核题名、摘要、全文和实验条件,,,,,
LIT-MULTI-0007,TiAlN,TiAlN coating corrosion,Corrosion mechanism investigation of TiAlN/CrN superlattice coating by multi-arc ion plating in 3.5 wt% NaCl solution,Surface and Coatings Technology,2020.0,10.1016/j.surfcoat.2020.125660,https://doi.org/10.1016/j.surfcoat.2020.125660,,Crossref 文献元数据,题名命中材料化学式或材料缩写，仍需人工复核实验条件,文献线索，需人工复核题名、摘要、全文和实验条件,,,,,
LIT-MULTI-0008,TiAlN,TiAlN coating corrosion,Corrosion performance of duplex treatments based on plasma nitriding and PAPVD TiAlN coating,Surface and Coatings Technology,2006.0,10.1016/j.surfcoat.2006.08.056,https://doi.org/10.1016/j.surfcoat.2006.08.056,,Crossref 文献元数据,题名命中材料化学式或材料缩写，仍需人工复核实验条件,文献线索，需人工复核题名、摘要、全文和实验条件,,,,,
LIT-MULTI-0009,TiAlN,TiAlN coating corrosion,Lead-bismuth eutectic corrosion resistance of TiAlN coating after N5+ ion irradiation,Thin Solid Films,2024.0,10.1016/j.tsf.2024.140224,https://doi.org/10.1016/j.tsf.2024.140224,,Crossref 文献元数据,题名命中材料化学式或材料缩写，仍需人工复核实验条件,文献线索，需人工复核题名、摘要、全文和实验条件,,,,,
LIT-MULTI-0010,TiAlN,TiAlN coating corrosion,Hydrothermal corrosion of TiAlN and CrN PVD films on stainless steel,Corrosion Science,2005.0,10.1016/j.corsci.2004.08.009,https://doi.org/10.1016/j.corsci.2004.08.009,,Crossref 文献元数据,题名命中材料化学式或材料缩写，仍需人工复核实验条件,文献线索，需人工复核题名、摘要、全文和实验条件,,,,,
