material_id,formula,material_name_cn,category,elements,candidate_application,hardness_level,stability_level,protective_layer_potential,cost_level,toxicity_risk,rare_element_risk,marine_environment_adaptability,notes,source_database,source_id,source_url,data_status,formation_energy,energy_above_hull,band_gap,density,elastic_modulus,recommendation_object_type,material_system,chemistry_tags,engineering_components,protection_mechanisms,process_route,applicable_scale,pilot_scope,data_completeness,evidence_status
M001,TiN,氮化钛,氮化物涂层,Ti;N,港口机械、海洋装备运动部件,高,高,中,中,低,中,中,常见硬质涂层候选体，真实物性需后续接入。,Materials Project,mp-33046,https://materialsproject.org/materials/mp-33046,已接入 Materials Project 官方 API 数据,-1.868186,0.074482,0.0,4.702693,待接入,表面工程与防护涂层,陶瓷与硬质涂层,氮化物|PVD候选,运动摩擦部件|紧固与连接件,耐磨|阻隔|耐蚀,待补充,局部关键部件,首批验证候选池,基础材料信息完整，待补充工艺与性能证据,文献线索待人工复核
M002,CrN,氮化铬,氮化物涂层,Cr;N,港口机械、船舶配套、海洋装备,高,高,高,中,低,低,高,适合作为耐盐雾和耐磨防护候选体，真实性能需实验验证。,Materials Project,mp-1232890,https://materialsproject.org/materials/mp-1232890,已接入 Materials Project 官方 API 数据,-0.726675,0.022512,0.0,6.200053,待接入,表面工程与防护涂层,陶瓷与硬质涂层,氮化物|PVD候选,运动摩擦部件|紧固与连接件,耐磨|阻隔|耐蚀,待补充,局部关键部件,首批验证候选池,基础材料信息完整，待补充工艺与性能证据,文献线索待人工复核
M003,AlN,氮化铝,氮化物涂层,Al;N,海上风电设备、电子封装相关部件,中,高,中,中,低,低,中,稳定性等级为示例分级，不代表真实热力学数据。,Materials Project,mp-1700,https://materialsproject.org/materials/mp-1700,已接入 Materials Project 官方 API 数据,-1.658923,0.020749,3.3036,3.266813,待接入,表面工程与防护涂层,陶瓷与硬质涂层,氮化物|PVD候选,运动摩擦部件|紧固与连接件,耐磨|阻隔|耐蚀,待补充,局部关键部件,首批验证候选池,基础材料信息完整，待补充工艺与性能证据,文献线索待人工复核
M004,TiAlN,钛铝氮,氮化物涂层,Ti;Al;N,港口机械、钢铁装备防护,高,高,高,中,低,中,高,复合氮化物硬质涂层候选体，需验证海洋环境附着力。,待接入真实数据库,,,示例数据，仅用于界面测试,待接入,待接入,待接入,待接入,待接入,表面工程与防护涂层,陶瓷与硬质涂层,多元氮化物|PVD候选,运动摩擦部件|紧固与连接件,耐磨|阻隔|耐蚀,待补充,局部关键部件,首批验证候选池,基础材料信息完整，待补充工艺与性能证据,文献线索待人工复核
M005,Al2O3,氧化铝,氧化物涂层,Al;O,海洋装备、海水环境装备,高,高,高,低,低,低,高,氧化物防护层候选体，示例等级不等同真实腐蚀速率。,Materials Project,mp-7048,https://materialsproject.org/materials/mp-7048,已接入 Materials Project 官方 API 数据,-3.409391,0.01716,4.4607,3.62631,待接入,表面工程与防护涂层,陶瓷与硬质涂层,氧化物|PVD候选,运动摩擦部件|紧固与连接件,耐磨|阻隔|耐蚀,待补充,局部关键部件,首批验证候选池,基础材料信息完整，待补充工艺与性能证据,文献线索待人工复核
M006,Cr2O3,氧化铬,氧化物涂层,Cr;O,海洋装备、港口机械,高,高,高,中,中,低,高,关注防护层稳定性，毒性风险为元素层面示例标注。,Materials Project,mp-755749,https://materialsproject.org/materials/mp-755749,已接入 Materials Project 官方 API 数据,-2.328298,0.03829,2.3438,5.343477,待接入,表面工程与防护涂层,陶瓷与硬质涂层,氧化物|PVD候选,运动摩擦部件|紧固与连接件,耐磨|阻隔|耐蚀,待补充,局部关键部件,首批验证候选池,基础材料信息完整，待补充工艺与性能证据,文献线索待人工复核
M007,TiO2,氧化钛,氧化物涂层,Ti;O,海洋牧场装备、海水环境装备,中,高,中,低,低,中,高,低毒候选涂层体系，后续需补充真实结构与制备数据。,Materials Project,mp-1840,https://materialsproject.org/materials/mp-1840,已接入 Materials Project 官方 API 数据,-3.505014,0.003041,2.2862,4.10516,待接入,表面工程与防护涂层,陶瓷与硬质涂层,氧化物|PVD候选,运动摩擦部件|紧固与连接件,耐磨|阻隔|耐蚀,待补充,局部关键部件,首批验证候选池,基础材料信息完整，待补充工艺与性能证据,文献线索待人工复核
M008,ZrO2,氧化锆,氧化物涂层,Zr;O,海上风电设备、海洋工程,中,高,高,高,低,中,高,成本和稀有元素风险需结合供应链进一步评估。,Materials Project,mp-776404,https://materialsproject.org/materials/mp-776404,已接入 Materials Project 官方 API 数据,-3.80412,0.009497,3.4629,5.78142,待接入,表面工程与防护涂层,陶瓷与硬质涂层,氧化物|PVD候选,运动摩擦部件|紧固与连接件,耐磨|阻隔|耐蚀,待补充,局部关键部件,首批验证候选池,基础材料信息完整，待补充工艺与性能证据,文献线索待人工复核
M009,SiO2,二氧化硅,氧化物涂层,Si;O,海洋牧场装备、海水环境装备,低,高,中,低,低,低,中,成本友好但硬度等级为示例分级，需结合复合涂层设计。,Materials Project,mp-6930,https://materialsproject.org/materials/mp-6930,已接入 Materials Project 官方 API 数据,-3.272206,0.000626,5.6695,2.632258,待接入,表面工程与防护涂层,陶瓷与硬质涂层,氧化物|PVD候选,运动摩擦部件|紧固与连接件,耐磨|阻隔|耐蚀,待补充,局部关键部件,首批验证候选池,基础材料信息完整，待补充工艺与性能证据,文献线索待人工复核
M010,SiC,碳化硅,碳化物涂层,Si;C,港口机械、钢铁装备防护,高,高,高,中,低,低,高,耐磨候选体，海洋涂层服役表现需实验验证。,Materials Project,mp-7631,https://materialsproject.org/materials/mp-7631,已接入 Materials Project 官方 API 数据,-0.305939,8e-06,2.0224,3.227773,待接入,表面工程与防护涂层,陶瓷与硬质涂层,碳化物|PVD候选,运动摩擦部件|紧固与连接件,耐磨|阻隔|耐蚀,待补充,局部关键部件,首批验证候选池,基础材料信息完整，待补充工艺与性能证据,文献线索待人工复核
M011,TiC,碳化钛,碳化物涂层,Ti;C,港口机械、海洋装备运动部件,高,中,中,中,低,中,中,硬质碳化物候选体，需关注涂层缺陷与附着力。,Materials Project,mp-631,https://materialsproject.org/materials/mp-631,已接入 Materials Project 官方 API 数据,-0.965352,0.0,0.0,4.894158,待接入,表面工程与防护涂层,陶瓷与硬质涂层,碳化物|PVD候选,运动摩擦部件|紧固与连接件,耐磨|阻隔|耐蚀,待补充,局部关键部件,首批验证候选池,基础材料信息完整，待补充工艺与性能证据,文献线索待人工复核
M012,WC,碳化钨,碳化物涂层,W;C,港口机械、钢铁装备防护,高,高,高,高,低,高,中,耐磨潜力强但成本和稀有元素风险较高。,Materials Project,mp-13136,https://materialsproject.org/materials/mp-13136,已接入 Materials Project 官方 API 数据,0.29412,0.447661,0.0,15.424677,待接入,表面工程与防护涂层,陶瓷与硬质涂层,碳化物|PVD候选,运动摩擦部件|紧固与连接件,耐磨|阻隔|耐蚀,待补充,局部关键部件,首批验证候选池,基础材料信息完整，待补充工艺与性能证据,文献线索待人工复核
