scenario_id,city,application_scene,target_property,weight_stability,weight_protection,weight_cost,weight_environment,weight_industry,rule_description
R001,青岛,海洋装备,"耐盐雾、耐磨、耐湿热",0.25,0.30,0.20,0.15,0.10,"默认 SCMS 权重，用于青岛海洋装备表面防护候选材料筛选。"
R002,青岛,港口机械,"耐盐雾、耐磨、抗冲蚀",0.25,0.30,0.20,0.15,0.10,"港口机械关注防护和成本，用户偏好可进一步调整权重。"
R003,青岛,海上风电设备,"耐盐雾、耐湿热、长期稳定",0.25,0.30,0.20,0.15,0.10,"海上风电设备强调长期环境适配性。"
R004,烟台,海上风电设备,"耐盐雾、耐冲蚀、稳定",0.25,0.30,0.20,0.15,0.10,"烟台海上风电设备候选材料筛选规则。"
R005,烟台,船舶装备,"耐海水、低毒、耐磨",0.25,0.30,0.20,0.15,0.10,"船舶装备兼顾防护潜力和生态风险。"
R006,烟台,海洋工程,"耐盐雾、耐冲蚀、稳定",0.25,0.30,0.20,0.15,0.10,"海洋工程装备候选涂层初筛。"
R007,威海,海洋牧场装备,"耐海水、低毒、抗生物附着",0.25,0.30,0.20,0.15,0.10,"海洋牧场装备对低毒和海水环境适配性更敏感。"
R008,威海,船舶配套,"低毒、耐盐雾、耐磨",0.25,0.30,0.20,0.15,0.10,"船舶配套候选材料筛选规则。"
R009,威海,海水环境装备,"耐海水、耐湿热、稳定",0.25,0.30,0.20,0.15,0.10,"海水环境装备候选涂层初筛。"
R010,日照,港口机械,"耐磨、耐盐雾、耐污染",0.25,0.30,0.20,0.15,0.10,"日照港口机械和物流装备防护筛选规则。"
R011,日照,海洋运输装备,"耐海水、耐盐雾、防护",0.25,0.30,0.20,0.15,0.10,"海洋运输装备候选材料筛选规则。"
R012,日照,钢铁装备防护,"耐磨、耐热、耐工业污染",0.25,0.30,0.20,0.15,0.10,"钢铁装备防护更关注耐磨和工业污染适配性。"
