evidence_id,formula,query,title,journal,year,doi,url,abstract_snippet,evidence_type,relevance_note,data_status
LIT-MULTI-0001,TiN,TiN coating corrosion NaCl,Study of NaCl-induced hot-corrosion behavior of TiN single-layer and TiN/Ti multilayer coatings at 500 °C,Corrosion Science,2021,10.1016/j.corsci.2021.109838,https://doi.org/10.1016/j.corsci.2021.109838,,Crossref 文献元数据,题名命中材料化学式或材料缩写，仍需人工复核实验条件,文献线索，需人工复核题名、摘要、全文和实验条件
LIT-MULTI-0002,TiN,TiN coating corrosion NaCl,Pitting corrosion of TiN-coated stainless steel in 3 % NaCl solution,Materiali in tehnologije,2015,10.17222/mit.2013.176,https://doi.org/10.17222/mit.2013.176,,Crossref 文献元数据,题名命中材料化学式或材料缩写，仍需人工复核实验条件,文献线索，需人工复核题名、摘要、全文和实验条件
LIT-MULTI-0003,TiAlN,TiAlN coating corrosion,Characterization and Corrosion Studies of TiAlN PVD Coating by Using the Polarization Test Method,Journal of Bio- and Tribo-Corrosion,2019,10.1007/s40735-019-0220-1,https://doi.org/10.1007/s40735-019-0220-1,,Crossref 文献元数据,题名命中材料化学式或材料缩写，仍需人工复核实验条件,文献线索，需人工复核题名、摘要、全文和实验条件
LIT-MULTI-0004,TiAlN,TiAlN coating corrosion,High-temperature resistance and self-lubricating TiAlTaCN nanocomposite hard coating by synergistic interaction of TiAlN(C) and TaN(C) phases,Corrosion Science,2024,10.1016/j.corsci.2023.111687,https://doi.org/10.1016/j.corsci.2023.111687,,Crossref 文献元数据,题名命中材料化学式或材料缩写，仍需人工复核实验条件,文献线索，需人工复核题名、摘要、全文和实验条件
LIT-MULTI-0005,TiAlN,TiAlN coating corrosion,Erosion-Corrosion Behavior and Mechanism of TiAlN Coating Under Different Flow Conditions in Simulated Seawater,Corrosion,2023,10.5006/4287,https://doi.org/10.5006/4287,"Erosion-corrosion behavior of high-speed steel (HSS) and titanium aluminum nitride (TiAlN) coating were investigated under different flow conditions in simulated seawater. On the front side (facing toward the direction of water flow), there was a negligible failure of the TiAlN coating, but clear marks of erosion-corrosion on the HSS. Notwithstanding, unexpected failure features were identified on the back side (back",Crossref 文献元数据,题名命中材料化学式或材料缩写，仍需人工复核实验条件,文献线索，需人工复核题名、摘要、全文和实验条件
LIT-MULTI-0006,TiAlN,TiAlN coating corrosion,Improvement in Wear and Thermal Resistance of Disc Brake Rotors using TiAlN Coating,International Journal of Science and Research (IJSR),2017,10.21275/art20175184,https://doi.org/10.21275/art20175184,,Crossref 文献元数据,题名命中材料化学式或材料缩写，仍需人工复核实验条件,文献线索，需人工复核题名、摘要、全文和实验条件
LIT-MULTI-0007,TiAlN,TiAlN coating corrosion,Corrosion mechanism investigation of TiAlN/CrN superlattice coating by multi-arc ion plating in 3.5 wt% NaCl solution,Surface and Coatings Technology,2020,10.1016/j.surfcoat.2020.125660,https://doi.org/10.1016/j.surfcoat.2020.125660,,Crossref 文献元数据,题名命中材料化学式或材料缩写，仍需人工复核实验条件,文献线索，需人工复核题名、摘要、全文和实验条件
LIT-MULTI-0008,TiAlN,TiAlN coating corrosion,Corrosion performance of duplex treatments based on plasma nitriding and PAPVD TiAlN coating,Surface and Coatings Technology,2006,10.1016/j.surfcoat.2006.08.056,https://doi.org/10.1016/j.surfcoat.2006.08.056,,Crossref 文献元数据,题名命中材料化学式或材料缩写，仍需人工复核实验条件,文献线索，需人工复核题名、摘要、全文和实验条件
LIT-MULTI-0009,TiAlN,TiAlN coating corrosion,Lead-bismuth eutectic corrosion resistance of TiAlN coating after N5+ ion irradiation,Thin Solid Films,2024,10.1016/j.tsf.2024.140224,https://doi.org/10.1016/j.tsf.2024.140224,,Crossref 文献元数据,题名命中材料化学式或材料缩写，仍需人工复核实验条件,文献线索，需人工复核题名、摘要、全文和实验条件
LIT-MULTI-0010,TiAlN,TiAlN coating corrosion,Hydrothermal corrosion of TiAlN and CrN PVD films on stainless steel,Corrosion Science,2005,10.1016/j.corsci.2004.08.009,https://doi.org/10.1016/j.corsci.2004.08.009,,Crossref 文献元数据,题名命中材料化学式或材料缩写，仍需人工复核实验条件,文献线索，需人工复核题名、摘要、全文和实验条件
LIT-MULTI-0011,Al2O3,Al2O3 coating corrosion protection,Preliminary Study on Al2O3 Sol-Gel Coating for Corrosion Protection of Martensitic Stainless Steel in Artificial Geothermal Water,CORROSION 2021,2021,10.5006/c2021-16777,https://doi.org/10.5006/c2021-16777,Abstract Al2O3 coatings are often used as protective layers on steels against electrochemical and high-temperature corrosion because they are chemically inert and stable at elevated temperatures. This study presents preliminary work on the possibilities of using Al2O3 sol-gel coatings for corrosion protection of martensitic stainless steels in geothermal environments. Al2O3 sol-gel coatings were applied on UNS S42000,Crossref 文献元数据,题名命中材料化学式或材料缩写，仍需人工复核实验条件,文献线索，需人工复核题名、摘要、全文和实验条件
LIT-MULTI-0012,Al2O3,Al2O3 coating corrosion protection,Electrochemical synthesis of polypyrrole-Al2O3 composite coating on 316 stainless steel for corrosion protection,AIP Conference Proceedings,2017,10.1063/1.4977262,https://doi.org/10.1063/1.4977262,,Crossref 文献元数据,题名命中材料化学式或材料缩写，仍需人工复核实验条件,文献线索，需人工复核题名、摘要、全文和实验条件
LIT-MULTI-0013,Al2O3,Al2O3 coating corrosion protection,Molecular Dynamics Study of Anti-Wear Erosion and Corrosion Protection of PTFE/Al2O3 (010) Coating Composite in Water Hydraulic Valves,Coatings,2020,10.3390/coatings10121214,https://doi.org/10.3390/coatings10121214,"Cavitation erosion and corrosion commonly occur on the surface of fluid dynamic system components, mostly water hydraulic valves, causing the failure of metal parts. Coating of polytetrafluoroethylene (PTFE) on Al2O3 (010) was created by varying the chain length of polytetrafluoroethylene. Calculations were conducted by molecular dynamic (MD) simulations. This study shows that the K10 and K20 chain lengths’ mechanica",Crossref 文献元数据,题名命中材料化学式或材料缩写，仍需人工复核实验条件,文献线索，需人工复核题名、摘要、全文和实验条件
LIT-MULTI-0014,Al2O3,Al2O3 coating corrosion protection,The effect of Al2O3 nanoparticles on tribological and corrosion behavior of electroless Ni–B–Al2O3 composite coating,Protection of Metals and Physical Chemistry of Surfaces,2016,10.1134/s2070205116050087,https://doi.org/10.1134/s2070205116050087,,Crossref 文献元数据,题名命中材料化学式或材料缩写，仍需人工复核实验条件,文献线索，需人工复核题名、摘要、全文和实验条件
