node_id,label,node_type,description,city,material
city:青岛,青岛,城市,海洋大气、盐雾和高湿环境叠加，适合筛选耐盐雾、耐磨、耐湿热表面防护材料。,青岛,
env:青岛:盐雾风险,高盐雾风险,环境,青岛的盐雾风险示例等级为高。,青岛,
env:青岛:高湿风险,高高湿风险,环境,青岛的高湿风险示例等级为高。,青岛,
env:青岛:工业污染风险,中工业污染风险,环境,青岛的工业污染风险示例等级为中。,青岛,
city:烟台,烟台,城市,面向海上风电、船舶装备和海洋工程，重点关注盐雾、冲蚀和长期服役稳定性。,烟台,
env:烟台:盐雾风险,高盐雾风险,环境,烟台的盐雾风险示例等级为高。,烟台,
env:烟台:高湿风险,中高湿风险,环境,烟台的高湿风险示例等级为中。,烟台,
env:烟台:工业污染风险,中工业污染风险,环境,烟台的工业污染风险示例等级为中。,烟台,
city:威海,威海,城市,海水环境与海洋牧场装备需求突出，强调低毒、耐海水和可维护性。,威海,
env:威海:盐雾风险,高盐雾风险,环境,威海的盐雾风险示例等级为高。,威海,
env:威海:高湿风险,高高湿风险,环境,威海的高湿风险示例等级为高。,威海,
env:威海:工业污染风险,低工业污染风险,环境,威海的工业污染风险示例等级为低。,威海,
city:日照,日照,城市,港口机械、海洋运输和钢铁装备防护需求明显，兼顾耐磨、耐污染和成本友好。,日照,
env:日照:盐雾风险,中盐雾风险,环境,日照的盐雾风险示例等级为中。,日照,
env:日照:高湿风险,中高湿风险,环境,日照的高湿风险示例等级为中。,日照,
env:日照:工业污染风险,高工业污染风险,环境,日照的工业污染风险示例等级为高。,日照,
industry:青岛:海洋装备产业,海洋装备产业,产业,面向海洋装备结构件、连接件和运动部件的耐腐蚀涂层筛选。,青岛,
scene:海洋装备,海洋装备,应用场景,海洋装备,,
demand:海洋装备:耐盐雾、耐磨、耐湿热表面防护材料,耐盐雾、耐磨、耐湿热表面防护材料,性能需求,耐盐雾、耐磨、耐湿热表面防护材料,,
industry:青岛:港口装备产业,港口装备产业,产业,港口机械暴露在盐雾和颗粒磨损环境中，需要兼顾防护和成本。,青岛,
scene:港口机械,港口机械,应用场景,港口机械,,
demand:港口机械:耐盐雾、耐磨、抗冲蚀涂层,耐盐雾、耐磨、抗冲蚀涂层,性能需求,耐盐雾、耐磨、抗冲蚀涂层,,
industry:青岛:海上能源装备,海上能源装备,产业,海上风电零部件需要长期服役稳定性和海洋环境适配性。,青岛,
scene:海上风电设备,海上风电设备,应用场景,海上风电设备,,
demand:海上风电设备:耐盐雾、耐疲劳、耐湿热涂层,耐盐雾、耐疲劳、耐湿热涂层,性能需求,耐盐雾、耐疲劳、耐湿热涂层,,
industry:烟台:海上能源装备,海上能源装备,产业,海上风电装备对耐盐雾和长期防护潜力要求较高。,烟台,
demand:海上风电设备:耐盐雾、耐湿热、耐冲蚀涂层,耐盐雾、耐湿热、耐冲蚀涂层,性能需求,耐盐雾、耐湿热、耐冲蚀涂层,,
industry:烟台:船舶装备产业,船舶装备产业,产业,船舶配套部件需要兼顾海水环境适应性和可维护性。,烟台,
scene:船舶装备,船舶装备,应用场景,船舶配套部件需要兼顾海水环境适应性和可维护性。,,
demand:船舶装备:耐海水、低毒、耐磨涂层,耐海水、低毒、耐磨涂层,性能需求,耐海水、低毒、耐磨涂层,,
industry:烟台:海洋工程产业,海洋工程产业,产业,海洋工程装备关注复杂海况下的表面防护候选材料。,烟台,
scene:海洋工程,海洋工程,应用场景,海洋工程,,
demand:海洋工程:耐盐雾、耐冲蚀、稳定涂层,耐盐雾、耐冲蚀、稳定涂层,性能需求,耐盐雾、耐冲蚀、稳定涂层,,
industry:威海:海洋牧场装备,海洋牧场装备,产业,海洋牧场装备强调生态友好和海水长期暴露适配性。,威海,
scene:海洋牧场装备,海洋牧场装备,应用场景,海洋牧场装备,,
demand:海洋牧场装备:耐海水、低毒、抗生物附着候选涂层,耐海水、低毒、抗生物附着候选涂层,性能需求,耐海水、低毒、抗生物附着候选涂层,,
